in:Amount columns X,in:Seed for random numbers,in:Amount columns Y,out:name,out:Number of columns X,out:Number of columns Y,out:Column spacing minimum (mm),out:Beam span maximum (mm),out:Y-Label,img
3,0,3,Structure_3_0_3,5,5,1000,7000,0.618654,True.png
4,0,3,Structure_4_0_3,6,5,1000,7000,0.669354,True.png
5,0,3,Structure_5_0_3,7,5,1000,7000,0.641892,True.png
6,0,3,Structure_6_0_3,8,5,1000,7000,0.662788,True.png
7,0,3,Structure_7_0_3,9,5,1000,7000,0.635148,True.png
3,1,3,Structure_3_1_3,5,5,1000,7000,0.624844,True.png
4,1,3,Structure_4_1_3,6,5,1000,7000,0.657085,True.png
5,1,3,Structure_5_1_3,7,5,1000,7000,0.638352,True.png
6,1,3,Structure_6_1_3,8,5,1000,7000,0.63373,True.png
7,1,3,Structure_7_1_3,9,5,1000,7000,0.604818,True.png
3,2,3,Structure_3_2_3,5,5,1000,12000,-0.089698,True.png
4,2,3,Structure_4_2_3,6,5,1000,10000,0.230439,True.png
5,2,3,Structure_5_2_3,7,5,1000,7000,0.648397,True.png
6,2,3,Structure_6_2_3,8,5,1000,7000,0.617797,True.png
7,2,3,Structure_7_2_3,9,5,1000,7000,0.590961,True.png
3,3,3,Structure_3_3_3,5,5,1000,12000,0.008768,True.png
4,3,3,Structure_4_3_3,6,5,1000,12000,-0.044247,True.png
5,3,3,Structure_5_3_3,7,5,1000,12000,-0.11785,True.png
6,3,3,Structure_6_3_3,8,5,1000,12000,-0.168699,True.png
7,3,3,Structure_7_3_3,9,5,1000,12000,-0.232363,True.png
3,4,3,Structure_3_4_3,5,5,1000,10000,0.25993,True.png
4,4,3,Structure_4_4_3,6,5,1000,8000,0.568879,True.png
5,4,3,Structure_5_4_3,7,5,1000,7000,0.640062,True.png
6,4,3,Structure_6_4_3,8,5,1000,7000,0.625017,True.png
7,4,3,Structure_7_4_3,9,5,1000,5000,0.693699,True.png
3,5,3,Structure_3_5_3,5,5,1000,10000,0.263882,True.png
4,5,3,Structure_4_5_3,6,5,1000,10000,0.245117,True.png
5,5,3,Structure_5_5_3,7,5,1000,10000,0.037146,True.png
6,5,3,Structure_6_5_3,8,5,1000,10000,0.024935,True.png
7,5,3,Structure_7_5_3,9,5,1000,10000,-0.0414,True.png
3,6,3,Structure_3_6_3,5,5,2000,8000,0.648053,True.png
4,6,3,Structure_4_6_3,6,5,2000,6000,0.741818,True.png
5,6,3,Structure_5_6_3,7,5,2000,5000,0.759199,True.png
6,6,3,Structure_6_6_3,8,5,1000,5000,0.731263,True.png
