Name;Number_of_columns_X;Number_of_columns_Y;Column_spacing_minimum_(mm);Beam_span_maximum_(mm);Y_label
Structure_3_0_3;5;5;1000;7000;0.645614
Structure_4_0_3;6;5;1000;7000;0.67321
Structure_5_0_3;7;5;1000;7000;0.640659
Structure_6_0_3;8;5;1000;7000;0.645577
Structure_7_0_3;9;5;1000;7000;0.612447
Structure_3_1_3;5;5;1000;7000;0.649931
Structure_4_1_3;6;5;1000;7000;0.664095
Structure_5_1_3;7;5;1000;7000;0.638158
Structure_6_1_3;8;5;1000;7000;0.623202
Structure_7_1_3;9;5;1000;7000;0.589094
Structure_3_2_3;5;5;1000;12000;0.01439
Structure_4_2_3;6;5;1000;10000;0.255076
Structure_5_2_3;7;5;1000;7000;0.645335
Structure_6_2_3;8;5;1000;7000;0.61026
Structure_7_2_3;9;5;1000;7000;0.577974
Structure_3_3_3;5;5;1000;12000;0.091436
Structure_4_3_3;6;5;1000;12000;0.027842
Structure_5_3_3;7;5;1000;12000;0
Structure_6_3_3;8;5;1000;12000;0
Structure_7_3_3;9;5;1000;12000;0
Structure_3_4_3;5;5;1000;10000;0.363681
Structure_4_4_3;6;5;1000;8000;0.600107
Structure_5_4_3;7;5;1000;7000;0.651755
Structure_6_4_3;8;5;1000;7000;0.634352
Structure_7_4_3;9;5;1000;5000;0.657531
Structure_3_5_3;5;5;1000;10000;0.362933
Structure_4_5_3;6;5;1000;10000;0.33822
Structure_5_5_3;7;5;1000;10000;0.055027
Structure_6_5_3;8;5;1000;10000;0.015934
Structure_7_5_3;9;5;1000;10000;0
Structure_3_6_3;5;5;2000;8000;0.668204
Structure_4_6_3;6;5;2000;6000;0.735701
Structure_5_6_3;7;5;2000;5000;0.731659
Structure_6_6_3;8;5;1000;5000;0.698302
Structure_7_6_3;9;5;1000;5000;0.664919
Structure_3_7_3;5;5;1000;8000;0.322121
Structure_4_7_3;6;5;1000;8000;0.655919
Structure_5_7_3;7;5;1000;8000;0.622115
Structure_6_7_3;8;5;1000;8000;0.58824
Structure_7_7_3;9;5;1000;8000;0.555363
Structure_3_8_3;5;5;1000;8000;0.284974
Structure_4_8_3;6;5;1000;8000;0.200207
Structure_5_8_3;7;5;1000;8000;0.227467
Structure_6_8_3;8;5;1000;8000;0.145237
Structure_7_8_3;9;5;1000;8000;0.063843
Structure_3_9_3;5;5;1000;8000;0.421859
Structure_4_9_3;6;5;1000;8000;0.576651
Structure_5_9_3;7;5;1000;8000;0.549741
Structure_6_9_3;8;5;1000;8000;0.53917
Structure_7_9_3;9;5;1000;8000;0.510649
Structure_3_10_3;5;5;1000;6000;0.71543
Structure_4_10_3;6;5;1000;6000;0.698278
Structure_5_10_3;7;5;1000;6000;0.680315
Structure_6_10_3;8;5;1000;6000;0.662573
Structure_7_10_3;9;5;1000;6000;0.630106
Structure_3_11_3;5;5;1000;8000;0.603865
Structure_4_11_3;6;5;1000;8000;0.580649
Structure_5_11_3;7;5;1000;8000;0.563022
Structure_6_11_3;8;5;1000;6000;0.665009
Structure_7_11_3;9;5;1000;6000;0.639337
Structure_3_12_3;5;5;1000;8000;0.616998
Structure_4_12_3;6;5;1000;8000;0.585506
Structure_5_12_3;7;5;1000;8000;0.553619
Structure_6_12_3;8;5;1000;8000;0.531582
Structure_7_12_3;9;5;1000;8000;0.49806
Structure_3_13_3;5;5;1000;6000;0.757639
Structure_4_13_3;6;5;1000;6000;0.740089
Structure_5_13_3;7;5;1000;6000;0.717302
Structure_6_13_3;8;5;1000;6000;0.70008
Structure_7_13_3;9;5;1000;5000;0.642184
Structure_3_14_3;5;5;1000;8000;0.657032
Structure_4_14_3;6;5;1000;8000;0.639556
Structure_5_14_3;7;5;1000;7000;0.671203
Structure_6_14_3;8;5;1000;6000;0.666736
Structure_7_14_3;9;5;1000;6000;0.650308
Structure_3_15_3;5;5;1000;8000;0.634717
Structure_4_15_3;6;5;1000;8000;0.645711
Structure_5_15_3;7;5;1000;8000;0.615769
Structure_6_15_3;8;5;1000;8000;0.582447
Structure_7_15_3;9;5;1000;8000;0.551748
Structure_3_16_3;5;5;1000;6000;0.706478
Structure_4_16_3;6;5;1000;6000;0.706236
Structure_5_16_3;7;5;1000;6000;0.672529
Structure_6_16_3;8;5;1000;6000;0.646796
Structure_7_16_3;9;5;1000;6000;0.625655
Structure_3_17_3;5;5;2000;6000;0.703552
Structure_4_17_3;6;5;1000;6000;0.685831
Structure_5_17_3;7;5;1000;6000;0.669436
Structure_6_17_3;8;5;1000;6000;0.663751
Structure_7_17_3;9;5;1000;6000;0.630102
Structure_3_18_3;5;5;1000;8000;0.637899
Structure_4_18_3;6;5;1000;6000;0.709602
Structure_5_18_3;7;5;1000;6000;0.685813
Structure_6_18_3;8;5;1000;6000;0.65244
Structure_7_18_3;9;5;1000;6000;0.619569
Structure_3_19_3;5;5;1000;8000;0.394183
Structure_4_19_3;6;5;1000;8000;0.593393
Structure_5_19_3;7;5;1000;8000;0.55998
Structure_6_19_3;8;5;1000;8000;0.585452
Structure_7_19_3;9;5;1000;8000;0.571931
Structure_3_20_3;5;5;1000;8000;0.39304
Structure_4_20_3;6;5;1000;8000;0.619348
Structure_5_20_3;7;5;1000;8000;0.586559
Structure_6_20_3;8;5;1000;8000;0.578114
Structure_7_20_3;9;5;1000;8000;0.546711
Structure_3_21_3;5;5;1000;8000;0.680079
Structure_4_21_3;6;5;1000;8000;0.649376
Structure_5_21_3;7;5;1000;8000;0.619055
Structure_6_21_3;8;5;1000;8000;0.603626
Structure_7_21_3;9;5;1000;8000;0.571793
Structure_3_22_3;5;5;1000;11000;0.201746
Structure_4_22_3;6;5;1000;6000;0.74878
Structure_5_22_3;7;5;1000;5000;0.741758
Structure_6_22_3;8;5;1000;5000;0.696919
Structure_7_22_3;9;5;1000;5000;0.663396
Structure_3_23_3;5;5;1000;11000;0
Structure_4_23_3;6;5;1000;11000;0
Structure_5_23_3;7;5;1000;11000;0.152702
Structure_6_23_3;8;5;1000;11000;0.124497
Structure_7_23_3;9;5;1000;11000;0.087592
Structure_3_24_3;5;5;2000;8000;0.402344
Structure_4_24_3;6;5;2000;8000;0.662467
Structure_5_24_3;7;5;1000;8000;0.636857
Structure_6_24_3;8;5;1000;8000;0.604469
Structure_7_24_3;9;5;1000;8000;0.57128
Structure_3_25_3;5;5;1000;7000;0.670832
Structure_4_25_3;6;5;1000;7000;0.636925
Structure_5_25_3;7;5;1000;7000;0.603234
Structure_6_25_3;8;5;1000;7000;0.595166
Structure_7_25_3;9;5;1000;7000;0.578862
Structure_3_26_3;5;5;1000;7000;0.708908
Structure_4_26_3;6;5;1000;7000;0.69074
Structure_5_26_3;7;5;1000;6000;0.708199
Structure_6_26_3;8;5;1000;6000;0.67426
Structure_7_26_3;9;5;1000;6000;0.652045
Structure_3_27_3;5;5;1000;8000;0.393115
Structure_4_27_3;6;5;1000;7000;0.688744
Structure_5_27_3;7;5;1000;7000;0.655622
Structure_6_27_3;8;5;1000;7000;0.644914
Structure_7_27_3;9;5;1000;7000;0.621046
Structure_3_28_3;5;5;1000;9000;0.252423
Structure_4_28_3;6;5;1000;8000;0.541301
Structure_5_28_3;7;5;1000;8000;0.503171
Structure_6_28_3;8;5;1000;8000;0.468565
Structure_7_28_3;9;5;1000;8000;0.495749
Structure_3_29_3;5;5;1000;9000;0.378553
Structure_4_29_3;6;5;1000;9000;0.552209
Structure_5_29_3;7;5;1000;9000;0.554448
Structure_6_29_3;8;5;1000;9000;0.5234
Structure_7_29_3;9;5;1000;9000;0.512476
Structure_3_30_3;5;5;2000;6000;0.736356
Structure_4_30_3;6;5;1000;6000;0.702723
Structure_5_30_3;7;5;1000;6000;0.687936
Structure_6_30_3;8;5;1000;6000;0.658835
Structure_7_30_3;9;5;1000;6000;0.625081
Structure_3_31_3;5;5;1000;7000;0.69668
Structure_4_31_3;6;5;1000;7000;0.67293
Structure_5_31_3;7;5;1000;7000;0.652869
Structure_6_31_3;8;5;1000;6000;0.695919
Structure_7_31_3;9;5;1000;5000;0.654963
Structure_3_32_3;5;5;1000;11000;0.120989
Structure_4_32_3;6;5;1000;10000;0.28679
Structure_5_32_3;7;5;1000;8000;0.34999
Structure_6_32_3;8;5;1000;7000;0.60366
Structure_7_32_3;9;5;1000;7000;0.570341
Structure_3_33_3;5;5;1000;11000;0
Structure_4_33_3;6;5;1000;11000;0.155678
Structure_5_33_3;7;5;1000;11000;0.126756
Structure_6_33_3;8;5;1000;11000;0.094159
Structure_7_33_3;9;5;1000;11000;0.078814
Structure_3_34_3;5;5;1000;7000;0.689353
Structure_4_34_3;6;5;1000;7000;0.689154
Structure_5_34_3;7;5;1000;7000;0.655659
Structure_6_34_3;8;5;1000;7000;0.643211
Structure_7_34_3;9;5;1000;7000;0.609489
Structure_3_35_3;5;5;1000;6000;0.701575
Structure_4_35_3;6;5;1000;6000;0.722202
Structure_5_35_3;7;5;1000;6000;0.695085
Structure_6_35_3;8;5;1000;6000;0.662495
Structure_7_35_3;9;5;1000;6000;0.628784
Structure_3_36_3;5;5;1000;7000;0.689262
Structure_4_36_3;6;5;1000;7000;0.669688
Structure_5_36_3;7;5;1000;7000;0.650848
Structure_6_36_3;8;5;1000;6000;0.618856
Structure_7_36_3;9;5;1000;6000;0.584946
Structure_3_37_3;5;5;1000;8000;0.624547
Structure_4_37_3;6;5;1000;8000;0.605619
Structure_5_37_3;7;5;1000;7000;0.607673
Structure_6_37_3;8;5;1000;7000;0.573847
Structure_7_37_3;9;5;1000;7000;0.615031
Structure_3_38_3;5;5;1000;8000;0.414063
Structure_4_38_3;6;5;1000;8000;0.648402
Structure_5_38_3;7;5;1000;8000;0.614846
Structure_6_38_3;8;5;1000;8000;0.600669
Structure_7_38_3;9;5;1000;8000;0.569606
Structure_3_39_3;5;5;1000;8000;0.366662
Structure_4_39_3;6;5;1000;8000;0.331303
Structure_5_39_3;7;5;1000;7000;0.593289
Structure_6_39_3;8;5;1000;7000;0.60986
Structure_7_39_3;9;5;1000;7000;0.586441
Structure_3_40_3;5;5;1000;8000;0.269591
Structure_4_40_3;6;5;1000;8000;0.308859
Structure_5_40_3;7;5;1000;8000;0.547923
Structure_6_40_3;8;5;1000;8000;0.515557
Structure_7_40_3;9;5;1000;8000;0.510509
Structure_3_41_3;5;5;1000;8000;0.292512
Structure_4_41_3;6;5;1000;8000;0.202018
Structure_5_41_3;7;5;1000;8000;0.242489
Structure_6_41_3;8;5;1000;8000;0.162374
Structure_7_41_3;9;5;1000;8000;0.496666
Structure_3_42_3;5;5;1000;9000;0.278023
Structure_4_42_3;6;5;1000;8000;0.531487
Structure_5_42_3;7;5;1000;8000;0.534172
Structure_6_42_3;8;5;1000;8000;0.528295
Structure_7_42_3;9;5;1000;8000;0.495957
Structure_3_43_3;5;5;1000;9000;0.386488
Structure_4_43_3;6;5;1000;9000;0.299461
Structure_5_43_3;7;5;1000;9000;0.5679
Structure_6_43_3;8;5;1000;9000;0.533968
Structure_7_43_3;9;5;1000;9000;0.500888
Structure_3_44_3;5;5;1000;7000;0.638592
Structure_4_44_3;6;5;1000;7000;0.6982
Structure_5_44_3;7;5;1000;7000;0.680531
Structure_6_44_3;8;5;1000;7000;0.648914
Structure_7_44_3;9;5;1000;7000;0.615178
Structure_3_45_3;5;5;1000;7000;0.605954
Structure_4_45_3;6;5;1000;7000;0.634176
Structure_5_45_3;7;5;1000;7000;0.600932
Structure_6_45_3;8;5;1000;7000;0.618426
Structure_7_45_3;9;5;1000;7000;0.584986
Structure_3_46_3;5;5;1000;8000;0.370239
Structure_4_46_3;6;5;1000;7000;0.652012
Structure_5_46_3;7;5;1000;7000;0.62965
Structure_6_46_3;8;5;1000;7000;0.605545
Structure_7_46_3;9;5;1000;7000;0.571867
Structure_3_47_3;5;5;1000;8000;0.293357
Structure_4_47_3;6;5;1000;8000;0.333281
Structure_5_47_3;7;5;1000;8000;0.260132
Structure_6_47_3;8;5;1000;8000;0.526533
Structure_7_47_3;9;5;1000;8000;0.493469
Structure_3_48_3;5;5;1000;8000;0.41821
Structure_4_48_3;6;5;1000;8000;0.591854
Structure_5_48_3;7;5;1000;8000;0.572567
Structure_6_48_3;8;5;1000;8000;0.540789
Structure_7_48_3;9;5;1000;8000;0.509587
Structure_3_49_3;5;5;1000;8000;0.424368
Structure_4_49_3;6;5;1000;7000;0.662163
Structure_5_49_3;7;5;1000;6000;0.65265
Structure_6_49_3;8;5;1000;6000;0.657756
Structure_7_49_3;9;5;1000;6000;0.624529
Structure_3_50_3;5;5;1000;8000;0.368289
Structure_4_50_3;6;5;1000;8000;0.583965
Structure_5_50_3;7;5;1000;8000;0.562824
Structure_6_50_3;8;5;1000;8000;0.530365
Structure_7_50_3;9;5;1000;8000;0.497257
Structure_3_51_3;5;5;1000;7000;0.693786
Structure_4_51_3;6;5;1000;7000;0.661938
Structure_5_51_3;7;5;1000;7000;0.628411
Structure_6_51_3;8;5;1000;7000;0.596761
Structure_7_51_3;9;5;1000;7000;0.578635
Structure_3_52_3;5;5;1000;7000;0.731866
Structure_4_52_3;6;5;1000;5000;0.764778
Structure_5_52_3;7;5;1000;5000;0.730867
Structure_6_52_3;8;5;1000;5000;0.698625
Structure_7_52_3;9;5;1000;5000;0.664915
Structure_3_53_3;5;5;1000;7000;0.722062
Structure_4_53_3;6;5;1000;7000;0.688775
Structure_5_53_3;7;5;1000;7000;0.674852
Structure_6_53_3;8;5;1000;7000;0.641205
Structure_7_53_3;9;5;1000;7000;0.608935
Structure_3_54_3;5;5;1000;6000;0.738927
Structure_4_54_3;6;5;1000;6000;0.71829
Structure_5_54_3;7;5;1000;5000;0.722341
Structure_6_54_3;8;5;1000;5000;0.695524
Structure_7_54_3;9;5;1000;5000;0.662217
Structure_3_55_3;5;5;1000;11000;0.184111
Structure_4_55_3;6;5;1000;10000;0.150579
Structure_5_55_3;7;5;1000;9000;0.313848
Structure_6_55_3;8;5;1000;7000;0.637618
Structure_7_55_3;9;5;1000;6000;0.589528
Structure_3_56_3;5;5;1000;11000;0
Structure_4_56_3;6;5;1000;11000;0.119032
Structure_5_56_3;7;5;1000;11000;0.09041
Structure_6_56_3;8;5;1000;11000;0.122215
